column_name;total_non_null;num_categories;most_frequent_value;most_frequent_count;most_frequent_percentage;distribution;percentage_distribution
msd01a_wais4;4050;2;0.0;2;0.05;{0.0: np.int64(2), 1.0: np.int64(4048)};{0.0: np.float64(0.05), 1.0: np.float64(99.95)}
msd01b_wais4;4050;2;0.0;5;0.12;{0.0: np.int64(5), 1.0: np.int64(4045)};{0.0: np.float64(0.12), 1.0: np.float64(99.88)}
msd02a_wais4;4050;2;0.0;17;0.42;{0.0: np.int64(17), 1.0: np.int64(4033)};{0.0: np.float64(0.42), 1.0: np.float64(99.58)}
msd02b_wais4;4050;2;0.0;162;4.0;{0.0: np.int64(162), 1.0: np.int64(3888)};{0.0: np.float64(4.0), 1.0: np.float64(96.0)}
msd03a_wais4;4050;2;0.0;473;11.68;{0.0: np.int64(473), 1.0: np.int64(3577)};{0.0: np.float64(11.68), 1.0: np.float64(88.32)}
msd03b_wais4;4050;2;0.0;373;9.21;{0.0: np.int64(373), 1.0: np.int64(3677)};{0.0: np.float64(9.21), 1.0: np.float64(90.79)}
msd04a_wais4;4046;2;0.0;1431;35.37;{0.0: np.int64(1431), 1.0: np.int64(2615)};{0.0: np.float64(35.37), 1.0: np.float64(64.63)}
msd04b_wais4;4046;2;0.0;1245;30.77;{0.0: np.int64(1245), 1.0: np.int64(2801)};{0.0: np.float64(30.77), 1.0: np.float64(69.23)}
msd05a_wais4;4028;2;0.0;2101;52.16;{0.0: np.int64(2101), 1.0: np.int64(1927)};{0.0: np.float64(52.16), 1.0: np.float64(47.84)}
msd05b_wais4;4026;2;0.0;1821;45.23;{0.0: np.int64(1821), 1.0: np.int64(2205)};{0.0: np.float64(45.23), 1.0: np.float64(54.77)}
msd06a_wais4;3979;2;0.0;3391;85.22;{0.0: np.int64(3391), 1.0: np.int64(588)};{0.0: np.float64(85.22), 1.0: np.float64(14.78)}
msd06b_wais4;3975;2;0.0;3462;87.09;{0.0: np.int64(3462), 1.0: np.int64(513)};{0.0: np.float64(87.09), 1.0: np.float64(12.91)}
msd07a_wais4;3911;2;0.0;3839;98.16;{0.0: np.int64(3839), 1.0: np.int64(72)};{0.0: np.float64(98.16), 1.0: np.float64(1.84)}
msd07b_wais4;3918;2;0.0;3631;92.67;{0.0: np.int64(3631), 1.0: np.int64(287)};{0.0: np.float64(92.67), 1.0: np.float64(7.33)}
msd08a_wais4;3872;2;0.0;3862;99.74;{0.0: np.int64(3862), 1.0: np.int64(10)};{0.0: np.float64(99.74), 1.0: np.float64(0.26)}
msd08b_wais4;3876;2;0.0;3856;99.48;{0.0: np.int64(3856), 1.0: np.int64(20)};{0.0: np.float64(99.48), 1.0: np.float64(0.52)}
msd01_wais4;4048;2;0.0;7;0.17;{0.0: np.int64(7), 1.0: np.int64(4041)};{0.0: np.float64(0.17), 1.0: np.float64(99.83)}
msd02_wais4;4048;3;0.0;1;0.02;{0.0: np.int64(1), 1.0: np.int64(177), 2.0: np.int64(3870)};{0.0: np.float64(0.02), 1.0: np.float64(4.37), 2.0: np.float64(95.6)}
